Director,Movie,Total_Sales,Rank
Rebecca Rogers,Public-key impactful Internet solution,6885,3
Rebecca Rogers,Seamless 5thgeneration hardware,6175,4
Rebecca Rogers,Horizontal bandwidth-monitored forecast,5921,5
Rebecca Rogers,User-friendly bifurcated alliance,5521,6
Renee Adams,Quality-focused homogeneous middleware,4930,1
Richard Franco,Mandatory actuating task-force,11895,1
Richard Franco,Digitized bifurcated knowledgebase,7335,2
Richard Franco,Fundamental 24hour extranet,6880,3
Richard Franco,Diverse transitional collaboration,5495,4
Richard Humphrey,Universal contextually-based infrastructure,5695,1
Rickey Schmidt,Ameliorated next generation emulation,6055,1
Robert Johnson,Synergistic discrete structure,6620,1
Robert Kemp,Innovative user-facing open architecture,9405,1
Robert Kemp,Team-oriented mission-critical throughput,7480,2
Robert Kemp,Reactive radical leverage,6970,3
Robert Kemp,Total exuding data-warehouse,6665,4
Robert Kemp,Operative dedicated open system,3445,5
Robert Kemp,Programmable even-keeled open architecture,2840,6
Robert King,Cross-group user-facing product,5355,1
Robert Knox,Programmable interactive Graphical User Interface,8260,1
Robert Knox,Multi-channeled radical groupware,6010,2
Robert Knox,Innovative user-facing strategy,6005,3
Robert Knox,Optimized value-added implementation,5306,4
Robert Phillips,Total maximized capability,10870,1
Robert Phillips,Public-key cohesive throughput,9910,2
Robert Phillips,Cloned 6thgeneration data-warehouse,8145,3
Robert Phillips,Reverse-engineered heuristic complexity,7580,4
Robert Phillips,Self-enabling real-time task-force,6153,5
Robert Phillips,Switchable interactive alliance,4108,6
Robert Solomon,Devolved systematic standardization,7599,1
Robert Suarez,Persevering bandwidth-monitored success,8607,1
Robert Walker,Multi-lateral reciprocal core,8430,1
Robert Walker,Enhanced intangible interface,8155,2
Robert Walker,Cross-platform asynchronous customer loyalty,7690,3
Robert Walker,Team-oriented solution-oriented parallelism,7655,4
Robert Walker,Stand-alone real-time infrastructure,6615,5
Robert Walker,Ameliorated demand-driven migration,6610,6
Robert Walker,Advanced real-time conglomeration,6580,7
Robert Walker,Vision-oriented regional extranet,6025,8
Robert Walker,Customer-focused responsive info-mediaries,5056,9
Robin Turner,Digitized demand-driven encoding,8950,1
Ronald Dean,Fundamental human-resource groupware,9030,1
Ronald Dean,Front-line asynchronous policy,8075,2
Ronald Dean,Assimilated logistical time-frame,5375,3
Ronald Mitchell,Automated discrete project,7485,1
Ronald Mitchell,Down-sized upward-trending function,7100,2
Ronald Mitchell,Versatile regional functionalities,5251,3
Ronald Mitchell,Implemented zero tolerance middleware,4730,4
Rose Smith,Reactive explicit circuit,6756,1
Rose Smith,Distributed static open architecture,6565,2
Russell Martinez,Down-sized transitional task-force,1903,1
Ruth Fox,Total optimizing access,6375,1
Ryan Cruz,Polarized modular middleware,5935,1
Samantha Horn,Digitized demand-driven encoding,8950,1
Samantha Vance,Profound object-oriented workforce,4970,1
Samuel Noble,User-friendly mobile firmware,8780,1
Samuel Noble,Triple-buffered contextually-based knowledgebase,5515,2
Samuel Noble,Cross-platform asynchronous frame,4915,3
Sandra Hodge,Multi-tiered multi-state focus group,7435,1
Sara Monroe,Grass-roots attitude-oriented forecast,6695,1
Sarah Bradshaw,Distributed dedicated firmware,7545,1
Sarah Bradshaw,Digitized background application,7450,2
Sarah Bradshaw,Optimized mission-critical matrices,6800,3
Sarah Bradshaw,De-engineered directional workforce,5690,4
Sarah Bradshaw,Centralized attitude-oriented task-force,5145,5
Sarah Bradshaw,Enterprise-wide holistic knowledge user,4685,6
Sarah Brown,Persistent mission-critical solution,7380,1
Sarah Brown,Quality-focused scalable open architecture,5960,2
Sarah Brown,Right-sized static application,5950,3
Sarah Campos,Implemented even-keeled matrix,7160,1
Sarah Mann,Persevering bandwidth-monitored success,8607,1
Sarah Mann,Devolved 24/7 open system,7145,2
Sarah Mann,Distributed static open architecture,6565,3
Sarah Mann,Proactive uniform toolset,6040,4
Sarah Mann,Future-proofed exuding migration,5860,5
Sarah Mann,Right-sized 3rdgeneration instruction set,4855,6
Sarah Mann,Cross-group analyzing archive,4410,7
Scott Allen,Reduced needs-based circuit,7925,1
Scott Allen,Open-architected composite project,6550,2
Scott Allen,Right-sized even-keeled moderator,6500,3
Scott Allen,Extended stable challenge,4790,4
Scott Allen,Multi-layered stable adapter,4400,5
Scott May,Operative next generation challenge,6072,1
Seth Ramirez,Persevering tertiary customer loyalty,10075,1
Seth Ramirez,Fundamental encompassing capacity,8727,2
Seth Ramirez,Polarized demand-driven initiative,6385,3
Seth Ramirez,Public-key regional forecast,6095,4
Seth Ramirez,Cross-platform 4thgeneration pricing structure,5520,5
Seth Ramirez,Total regional extranet,5215,6
Shaun Mccoy,Up-sized contextually-based algorithm,7675,1
Shaun Mccoy,Stand-alone value-added Graphical User Interface,7240,2
Shaun Mccoy,Focused tangible matrix,6460,3
Shaun Mccoy,Synchronized multi-state contingency,6125,4
Shaun Mccoy,Focused bottom-line Local Area Network,6080,5
Shaun Mccoy,Quality-focused demand-driven policy,5213,6
Shaun Mccoy,Total client-server collaboration,5072,7
Shawn Camacho,Mandatory system-worthy forecast,10540,1
Shawn Camacho,Customer-focused empowering methodology,8970,2
Shawn Camacho,Front-line actuating workforce,7245,3
Shawn Camacho,Networked 6thgeneration archive,5840,4
Shawn Camacho,Distributed value-added paradigm,5835,5
Shawn Camacho,Ameliorated background methodology,5780,6
Shawn Camacho,Optional solution-oriented superstructure,5535,7
Shawn Christian,Monitored executive solution,10470,1
Shawn Christian,Automated foreground success,8605,2
Shawn Christian,Multi-layered motivating Graphic Interface,6824,3
Shawn Christian,Multi-layered next generation policy,6715,4
Shawn Christian,Intuitive actuating firmware,5420,5
Shawn Christian,Distributed systematic hub,4170,6
Shawn Christian,Upgradable motivating analyzer,3940,7
Sherri Cross,Synchronized 4thgeneration secured line,8499,1
Sherri Cross,Cross-platform client-driven time-frame,7865,2
Sherri Cross,Customer-focused responsive monitoring,6035,3
Sierra Brooks,Progressive exuding capability,5241,1
Spencer Peterson,Extended national frame,6747,1
Spencer Peterson,Synergistic discrete structure,6620,2
Stephanie Harvey,Total non-volatile collaboration,9885,1
Stephanie Harvey,Exclusive holistic benchmark,5950,2
Stephanie Harvey,Seamless even-keeled intranet,5640,3
Stephanie Martinez,Customer-focused empowering methodology,8970,1
Stephanie Mason,Business-focused context-sensitive installation,7975,1
Stephanie Underwood,Stand-alone multimedia budgetary management,8155,1
Stephen Holt,Down-sized transitional task-force,1903,1
Stephen Jones,Inverse well-modulated encryption,6565,1
Stephen Olson,Automated scalable portal,7330,1
Stephen Padilla,Reduced neutral secured line,9290,1
Stephen Padilla,Integrated 24/7 neural-net,8180,2
Stephen Padilla,Centralized intermediate analyzer,6800,3
Stephen Padilla,Robust explicit flexibility,6545,4
Stephen Padilla,Integrated next generation knowledgebase,3840,5
Stephen Padilla,Sharable national algorithm,3535,6
Steven Jackson,Fully-configurable zero tolerance moratorium,8216,1
Steven Jackson,Visionary coherent installation,7603,2
Steven Jackson,Devolved systematic standardization,7599,3
Steven Jackson,Focused zero tolerance groupware,4535,4
Steven Nelson,Virtual upward-trending open system,9445,1
Steven Sanchez,Synchronized next generation synergy,4064,1
Steven Wright,Universal 4thgeneration framework,9860,1
Steven Wright,Reactive optimizing synergy,9320,2
Steven Wright,Integrated intangible success,8995,3
Steven Wright,Virtual actuating leverage,8305,4
Steven Wright,Business-focused radical structure,7230,5
Steven Wright,Synergized tertiary model,6835,6
Steven Wright,Ameliorated transitional hardware,5250,7
Susan Parker,Inverse reciprocal secured line,10435,1
Tammy Henderson,Up-sized radical open system,9680,1
Tammy Henderson,Reduced zero administration matrix,9000,2
Tammy Henderson,Enterprise-wide mobile challenge,8725,3
Tammy Henderson,Down-sized mobile ability,8105,4
Tammy Henderson,Synchronized user-facing Graphical User Interface,5253,5
Tammy Henderson,Face-to-face multi-state budgetary management,4830,6
Tammy Holmes,Inverse 24hour toolset,7560,1
Taylor Brown,Multi-tiered optimal functionalities,4050,1
Teresa Campbell,Devolved systematic standardization,7599,1
Terri Stuart,Visionary fault-tolerant Graphic Interface,7945,1
Terri Stuart,Customer-focused fault-tolerant project,6005,2
Theresa Davis,Public-key cohesive throughput,9910,1
Thomas Hayes,Multi-channeled radical groupware,6010,1
Thomas Peterson,Team-oriented demand-driven projection,7090,1
Thomas Vasquez,Fully-configurable local standardization,5235,1
Thomas Weaver,Polarized directional capacity,3825,1
Tiffany Brown,Assimilated local firmware,8795,1
Tiffany Brown,Down-sized clear-thinking neural-net,7455,2
Tiffany Brown,Customer-focused tangible knowledgebase,7300,3
Tiffany Brown,Extended bandwidth-monitored extranet,7040,4
Tiffany Brown,Cross-group user-facing product,5355,5
Timothy Craig,Organized clear-thinking product,5676,1
Timothy Hernandez,Programmable didactic synergy,9368,1
Timothy Hernandez,Visionary maximized toolset,7440,2
Timothy Hernandez,Down-sized methodical project,7440,2
Timothy Hernandez,Integrated systemic throughput,4465,4
Timothy Moore,Centralized high-level groupware,7865,1
Timothy Moore,Quality-focused bandwidth-monitored protocol,7155,2
Timothy Moore,Networked solution-oriented standardization,6047,3
Timothy Moore,User-centric multimedia adapter,5001,4
Tina Price,Configurable discrete open architecture,8385,1
Toni Sullivan,Synergized reciprocal emulation,6239,1
Tony Molina,Digitized demand-driven encoding,8950,1
Tracy Saunders,Reactive tertiary intranet,4659,1
Tyler Stevens,Universal contextually-based infrastructure,5695,1
Valerie Rodriguez,Profit-focused grid-enabled matrix,7480,1
Valerie Rodriguez,Reactive composite contingency,6465,2
Vanessa Morris,Managed multimedia solution,7180,1
Veronica Ware,Mandatory system-worthy forecast,10540,1
Victoria Cook,Implemented methodical secured line,6955,1
Wendy Bishop,Ergonomic systemic migration,5500,1
Wendy Bishop,Advanced asynchronous matrices,5365,2
Wendy Brennan,Operative upward-trending middleware,9608,1
Wendy Brennan,Reactive tangible superstructure,7345,2
Wendy Brennan,Re-engineered global software,7290,3
Wendy Patton,Proactive directional toolset,4695,1
William Le,Phased executive migration,6830,1
William Reed,Total tangible infrastructure,7045,1
William Romero,Virtual reciprocal flexibility,7865,1
William Sullivan,Exclusive clear-thinking project,3905,1
